Fecha-hora;Evento;Severidad;Descripcion
11/10/2024 11:49;Test success;INFO;All tests of Base station #823C have passed
11/10/2024 11:46;OS upgrade;INFO;OS upgrade of Base station #823C : v7.1.4
11/10/2024 11:45;Power up;INFO;Software: [UPG_OK] Upgrade from v6.9.0 to v7.1.4 finished
;;;Hardware: [BBH_NOR] No reason
11/10/2024 11:14;Time has shifted;WARN;Base station #823C time has shifted
8/10/2024 23:03;Test success;INFO;All tests of Base station #823C have passed
3/10/2024 00:05;Test success;INFO;All tests of Base station #823C have passed
1/10/2024 11:01;Test success;INFO;All tests of Base station #823C have passed
27/09/2024 21:13;Test success;INFO;All tests of Base station #823C have passed
26/09/2024 01:09;Test success;INFO;All tests of Base station #823C have passed
23/09/2024 17:44;Test success;INFO;All tests of Base station #823C have passed
3/08/2024 09:14;Power up;INFO;Software: [UNK_SW_SET] unknown reason
;;;Hardware: [BBH_NOR] No reason
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
20/07/2024 07:37;Time has shifted;WARN;Base station #823C time has shifted
10/07/2024 01:11;Test success;INFO;All tests of Base station #823C have passed
9/07/2024 14:10;Test success;INFO;All tests of Base station #823C have passed
7/07/2024 20:16;Test success;INFO;All tests of Base station #823C have passed
5/07/2024 05:21;Test success;INFO;All tests of Base station #823C have passed
2/07/2024 13:16;Test success;INFO;All tests of Base station #823C have passed
1/07/2024 01:43;Test success;INFO;All tests of Base station #823C have passed
25/06/2024 01:10;Test success;INFO;All tests of Base station #823C have passed
24/06/2024 01:18;Test success;INFO;All tests of Base station #823C have passed
23/06/2024 07:16;Test success;INFO;All tests of Base station #823C have passed
16/06/2024 12:01;Test success;INFO;All tests of Base station #823C have passed
15/06/2024 01:38;Test success;INFO;All tests of Base station #823C have passed
