item_id,change
1056,-11
1017,-2
1074,-1
1056,-5
1094,-10
1096,-12
1067,-5
1085,-12
1054,-7
1010,-11
1048,15
1083,9
1100,6
1032,-17
1023,-3
1064,-15
1014,4
1036,16
1039,14
1067,-3
1049,19
1087,7
1075,9
1008,16
1030,-8
1037,-8
1008,9
1011,-19
1037,-15
1014,15
1022,1
1096,10
1050,-15
1059,3
1036,-18
1081,-5
1035,1
1059,4
1098,13
1052,-9
1096,-18
1087,-3
1051,18
1017,11
1069,-14
1094,16
1080,13
1084,19
1093,11
1100,3
1071,-4
1066,-12
1054,-17
1013,14
1094,-12
1064,-4
1095,-14
1084,14
1046,18
1092,-19
1021,3
1015,-11
1023,16
1070,-4
1044,14
1083,12
1100,5
1053,-11
1088,-6
1091,10
1035,-6
1062,-13
1010,13
1067,-14
1055,12
1051,-13
1050,12
1066,-4
1042,11
1088,-1
1007,5
1049,-6
1031,6
1021,5
1052,-7
1014,-11
1077,18
1006,-2
1072,-9
1062,-8
1014,5
1009,20
1031,3
1050,-4
1092,-2
1001,-1
1024,14
1089,-6
1002,-19
1064,-18
1067,-1
1084,14
1074,9
1053,11
1076,11
1068,-20
1026,13
1067,-19
1027,8
1084,-6
1029,9
1010,-16
1041,6
1076,10
1035,-11
1011,-20
1046,-13
1031,-5
1082,-15
1098,-10
1003,-11
1049,4
1002,3
1005,6
1006,-2
1090,7
1058,14
1032,6
1054,-7
1071,-8
1052,-4
1083,5
1076,17
1045,10
1080,-15
1032,6
1009,-8
1037,2
1013,16
1067,4
1008,11
1087,4
1025,-17
1096,-19
1096,-5
1097,10
1082,-6
1025,15
1094,12
1008,-1
1068,5
1065,14
1095,6
1058,17
1025,8
1071,12
1039,17
1094,14
1055,-4
1067,-8
1055,-20
1074,-12
1011,-13
1098,5
1021,5
1021,5
1046,-14
1090,10
1043,-11
1051,11
1078,2
1028,3
1011,-13
1043,19
1057,-16
1098,19
1001,14
1020,-3
1093,3
1074,2
1062,16
1038,-1
1047,4
1013,-3
1008,6
1040,12
1047,20
1084,-5
1067,16
1091,-14
1083,13
1071,-20
1032,-18
1096,16
1011,-3
1007,5
1065,-3
1087,15
1057,-16
1058,-3
1069,8
1079,-1
1055,-12
1048,-16
1025,-12
1089,20
1097,-6
1006,19
1016,8
1043,6
1034,19
1059,-15
1097,-3
1032,8
1027,-4
1007,2
1075,-4
1096,14
1098,-9
1022,15
1020,10
1022,9
1092,11
1008,13
1048,-5
1061,11
1076,-8
1007,15
