month,revenue
2024-01,15151.84
2024-02,13709.63
2024-03,8934.38
2024-04,11347.72
2024-05,16010.39
2024-06,8249.09
2024-07,10050.86
2024-08,17958.13
2024-09,18920.43
2024-10,10894.78
2024-11,14248.85
2024-12,11479.4
2025-01,16162.0
2025-02,17518.38
2025-03,13673.44
2025-04,13816.17
2025-05,11507.05
2025-06,15206.22
2025-07,12925.08
2025-08,12345.22
2025-09,14529.68
2025-10,17566.48
2025-11,11929.68
2025-12,18186.35
2026-01,13436.28
2026-02,12450.02
2026-03,14606.03
2026-04,9939.22
2026-05,15917.12
2026-06,10653.48
2026-07,15839.92
2026-08,12729.51
2026-09,11174.83
2026-10,8379.46
2026-11,18600.99
2026-12,18728.2
2027-01,11188.25
2027-02,19612.8
2027-03,13043.25
2027-04,12438.85
2027-05,14352.62
2027-06,12511.87
2027-07,12640.86
2027-08,13122.74
2027-09,16243.56
2027-10,15548.8
2027-11,18851.02
2027-12,15977.46
2028-01,17504.93
2028-02,13124.92
2028-03,12879.58
2028-04,19503.28
2028-05,11635.49
2028-06,15546.9
2028-07,18389.64
2028-08,11848.12
2028-09,9018.59
2028-10,12737.16
2028-11,16336.35
2028-12,11591.76
2029-01,16833.54
2029-02,9947.11
2029-03,9386.37
2029-04,16515.91
2029-05,19942.33
2029-06,18980.75
2029-07,17031.6
2029-08,13259.98
2029-09,9012.1
2029-10,17018.21
2029-11,8885.94
2029-12,12443.12
2030-01,13064.66
2030-02,8237.3
2030-03,14197.25
2030-04,15109.87
2030-05,16134.82
2030-06,18087.64
2030-07,19481.82
2030-08,18179.8
2030-09,12098.19
2030-10,9927.13
2030-11,12670.76
2030-12,12721.06
2031-01,14938.44
2031-02,14864.01
2031-03,9762.74
2031-04,9690.68
2031-05,11641.83
2031-06,14242.52
2031-07,17960.8
2031-08,17252.19
2031-09,15104.65
2031-10,18877.72
2031-11,14631.36
2031-12,14360.97
2032-01,16792.86
2032-02,16600.78
2032-03,8991.98
2032-04,18353.86
