month,revenue
2024-01,12445.1
2024-02,12157.23
2024-03,10638.13
2024-04,16815.36
2024-05,16650.35
2024-06,8067.4
2024-07,16577.35
2024-08,19908.88
2024-09,8807.26
2024-10,19386.67
2024-11,15495.59
2024-12,11368.07
2025-01,9446.35
2025-02,8415.84
2025-03,8954.18
2025-04,9866.25
2025-05,8374.49
2025-06,9060.12
2025-07,19651.04
2025-08,16767.4
2025-09,10733.22
2025-10,19385.51
2025-11,18414.99
2025-12,11754.84
2026-01,16547.23
2026-02,16315.96
2026-03,8363.6
2026-04,12994.28
2026-05,11345.55
2026-06,12005.19
2026-07,16188.51
2026-08,8731.81
2026-09,11877.75
2026-10,9221.27
2026-11,18259.05
2026-12,16957.55
2027-01,11185.2
2027-02,8041.23
2027-03,17086.82
2027-04,15927.51
2027-05,10635.75
2027-06,11820.8
2027-07,9074.89
2027-08,12795.72
2027-09,16926.76
2027-10,17634.34
2027-11,11078.39
2027-12,10666.34
2028-01,14466.47
2028-02,11926.15
2028-03,18215.89
2028-04,10688.18
2028-05,10421.78
2028-06,12133.92
2028-07,18268.87
2028-08,10733.48
2028-09,16305.9
2028-10,16046.75
2028-11,17537.63
2028-12,14280.94
2029-01,9459.42
2029-02,8475.57
2029-03,13948.32
2029-04,12215.8
2029-05,12840.11
2029-06,15796.25
2029-07,15049.39
2029-08,15335.97
2029-09,19941.05
2029-10,17628.3
2029-11,18756.59
2029-12,10348.84
2030-01,12750.19
2030-02,18067.26
2030-03,18655.11
2030-04,13869.2
2030-05,9341.11
2030-06,10245.55
2030-07,11565.67
2030-08,16180.82
2030-09,12857.99
2030-10,18595.12
2030-11,10812.81
2030-12,13370.52
2031-01,12003.1
2031-02,15579.91
2031-03,17436.34
2031-04,11531.21
2031-05,10098.62
2031-06,12728.5
2031-07,17291.22
2031-08,16460.35
2031-09,11581.84
2031-10,15973.56
2031-11,10161.84
2031-12,17213.49
2032-01,19148.47
2032-02,9420.13
2032-03,15120.59
2032-04,12528.69
