codigo, lab_1,lab_2,lab_3,lab_4,lab_5,lab_6,lab_7,lab_8,lab_9,lab_10,lab_11,lab_12, examen1, examen2
20250001,2,7,12,19,12,0,13,14,7,3,4,11,20,8
20250002,20,11,11,9,8,20,1,13,9,11,9,5,4,12
20250003,20,17,2,19,3,19,6,17,15,18,20,1,3,11
20250004,2,1,16,7,9,18,1,13,5,9,19,2,9,1
20250005,15,17,0,10,16,18,17,1,13,8,11,12,3,8
20250006,19,19,12,20,10,3,2,1,18,14,8,12,5,7
20250007,3,0,0,19,2,13,7,16,10,20,13,1,15,2
20250008,10,13,2,0,18,5,16,9,1,1,3,15,11,17
20250009,13,6,1,15,5,15,4,15,14,4,2,1,6,4
20250010,5,13,2,11,20,2,9,10,6,5,13,20,15,4
20250011,9,12,0,2,1,16,15,17,6,19,16,11,13,4
20250012,19,12,18,14,5,20,11,8,8,8,8,5,6,19
20250013,16,18,1,10,3,17,1,17,12,17,20,3,9,20
20250014,2,5,6,4,0,4,14,2,9,1,18,3,14,11
20250015,18,4,9,12,6,5,20,16,10,4,1,9,18,1
20250016,19,7,18,20,17,2,15,16,6,11,5,20,2,9
20250017,6,1,17,2,1,16,6,14,2,16,20,10,18,12
20250018,1,10,8,5,1,18,7,10,4,1,11,20,6,2
20250019,18,16,17,7,15,3,3,17,10,6,3,4,18,14
20250020,20,2,10,20,17,5,16,5,3,14,11,15,4,20
20250021,19,3,1,5,5,1,3,19,18,5,7,13,0,16
20250022,12,11,18,12,13,8,10,6,0,15,13,19,14,10
20250023,13,2,16,20,14,19,1,5,3,8,6,1,14,12
20250024,12,18,15,18,14,9,8,1,9,18,6,6,8,7
20250025,14,18,14,14,20,4,14,18,12,12,9,4,7,14
20250026,13,17,15,8,7,3,18,7,11,4,17,7,2,2
20250027,10,20,8,16,1,0,9,18,18,13,3,9,9,11
20250028,7,19,6,9,13,7,17,6,17,3,15,11,6,6
20250029,1,11,8,18,11,0,6,7,20,11,8,1,6,5
20250030,1,16,12,4,2,2,17,18,14,15,17,1,12,19
20250031,14,20,1,1,6,1,19,19,13,3,8,8,11,15
20250032,12,10,13,18,14,12,18,4,10,11,20,0,17,0
20250033,11,17,10,11,1,17,1,4,15,3,14,8,9,15
20250034,18,6,19,0,18,14,18,1,7,13,9,11,0,4
20250035,14,1,14,5,0,7,12,12,14,5,12,16,8,7
20250036,7,11,9,9,8,10,15,2,12,18,3,16,8,4
20250037,0,17,0,7,3,9,8,19,1,19,13,10,0,15
20250038,14,13,9,20,16,0,10,14,7,15,4,14,19,15
20250039,3,8,20,12,7,8,13,12,12,19,1,8,2,16
20250040,8,8,19,0,15,20,11,8,11,12,7,0,19,3
20250041,14,13,9,8,2,18,8,1,18,4,1,10,0,12
20250042,14,11,5,8,5,16,1,9,6,11,14,16,9,1
20250043,16,17,6,18,15,20,9,5,18,1,16,19,7,4
20250044,10,14,18,13,15,19,8,20,10,18,16,16,15,13
20250045,11,10,8,1,4,7,12,5,0,15,8,12,19,3
20250046,9,0,13,16,17,16,10,20,13,14,19,10,19,11
20250047,19,1,11,19,12,2,0,18,6,11,1,15,8,19
20250048,6,19,20,5,14,2,19,19,17,14,3,14,7,0
20250049,17,9,6,0,4,12,3,16,19,15,15,13,6,17
20250050,9,6,20,0,11,3,12,10,3,0,10,0,4,10
20250051,3,5,16,10,2,20,12,7,4,11,5,3,3,18
20250052,15,8,7,3,6,19,11,3,19,2,8,9,10,17
20250053,10,19,0,14,10,1,17,18,5,11,16,17,7,4
20250054,7,20,7,18,1,1,2,2,20,2,17,10,1,16
20250055,11,16,13,16,20,11,0,15,7,5,17,10,1,7
20250056,14,20,19,7,18,13,6,17,12,9,20,12,16,16
20250057,1,0,7,4,4,19,6,5,4,18,13,17,5,12
20250058,15,3,1,9,1,4,16,4,3,4,7,17,11,16
20250059,9,6,1,0,10,1,12,20,19,19,15,13,3,5
20250060,20,19,18,0,15,20,2,7,9,14,8,18,7,16
20250061,10,10,6,16,10,13,13,8,3,17,17,7,11,16
20250062,8,5,16,2,16,10,0,7,11,18,9,20,6,8
20250063,15,1,4,10,11,14,9,6,0,17,15,14,1,11
20250064,15,10,13,13,9,4,7,9,5,3,13,16,8,11
20250065,18,20,13,14,6,2,13,1,18,7,13,7,9,14
20250066,5,19,5,3,18,10,18,7,2,2,3,9,3,3
20250067,9,18,15,18,13,14,3,4,14,19,8,17,6,1
20250068,10,1,13,7,5,3,6,20,19,19,8,8,8,11
20250069,6,2,0,18,20,5,1,12,11,2,19,20,17,9
20250070,2,7,9,16,1,17,1,16,7,11,20,6,11,13
20250071,5,9,3,15,2,12,18,4,17,8,6,16,7,18
20250072,11,5,12,16,2,11,8,1,8,0,12,12,7,5
20250073,1,0,2,9,8,2,12,20,4,6,1,18,15,19
20250074,2,0,19,16,0,5,11,9,15,1,20,18,17,4
20250075,6,2,5,8,19,11,11,7,19,3,18,2,5,12
20250076,0,19,1,12,9,12,20,5,9,10,4,8,19,11
20250077,2,14,6,10,0,3,4,9,17,8,9,3,11,0
20250078,3,2,1,8,10,1,19,13,17,3,1,0,4,19
20250079,17,9,20,3,17,4,10,0,0,20,14,3,9,7
20250080,4,16,14,12,12,18,12,15,17,6,14,10,16,7
20250081,11,5,4,17,5,6,12,5,3,16,2,16,4,4
20250082,12,9,20,12,6,12,13,1,6,11,20,4,12,0
20250083,13,16,12,1,13,9,8,19,14,18,2,17,0,5
20250084,15,15,17,6,10,7,3,18,6,4,4,17,20,11
20250085,17,9,2,19,4,4,16,14,20,14,20,11,12,4
20250086,7,16,15,6,13,20,18,11,9,1,11,17,8,20
20250087,6,15,14,20,13,17,8,8,9,5,12,0,9,1
20250088,11,17,11,1,1,14,16,15,2,4,10,13,14,18
20250089,1,7,13,20,19,2,6,5,12,15,12,3,6,3
20250090,1,7,14,3,11,16,4,4,5,2,0,12,14,19
20250091,17,14,16,18,15,2,11,13,14,17,3,12,11,16
20250092,7,19,13,20,14,2,18,1,13,19,5,13,12,15
20250093,19,9,20,14,18,9,14,14,3,7,18,19,11,9
20250094,19,0,13,19,15,5,3,17,11,9,9,12,14,2
20250095,14,2,16,6,11,13,13,8,11,14,1,14,8,9
20250096,13,5,18,12,14,20,13,1,15,1,8,20,18,3
20250097,7,17,16,12,14,11,4,15,1,13,1,1,7,3
20250098,4,2,20,18,2,20,17,18,18,14,6,10,12,2
20250099,13,16,13,11,15,10,1,10,17,10,11,19,12,11
20250100,0,20,16,20,3,6,15,5,7,1,20,17,17,16
20250101,5,2,9,1,4,4,0,17,10,6,14,4,0,13
20250102,10,6,20,19,2,5,3,9,11,5,20,14,15,11
20250103,13,16,14,8,16,13,20,1,1,12,12,13,17,15
20250104,1,0,13,1,5,13,3,4,3,15,4,18,0,3
20250105,18,1,8,14,3,17,18,20,2,18,13,3,19,13
20250106,5,7,12,1,8,8,10,15,4,15,8,3,13,15
20250107,20,10,0,6,14,6,0,2,5,9,7,14,14,5
20250108,2,7,17,16,8,5,5,7,20,15,18,2,5,1
20250109,6,13,3,6,1,10,0,13,10,2,3,11,16,16
20250110,8,20,7,4,11,1,14,8,13,0,19,12,9,13
20250111,16,15,14,19,1,15,17,15,4,16,0,18,20,17
20250112,5,18,19,12,8,14,12,13,2,1,11,7,9,15
20250113,3,7,16,13,6,2,15,5,0,12,18,1,8,1
20250114,4,13,12,3,6,14,5,13,20,18,20,15,11,18
20250115,17,6,5,15,15,1,3,7,9,18,19,4,2,9
20250116,1,4,9,11,5,15,16,3,9,6,13,1,20,17
20250117,8,18,9,5,14,15,1,15,4,5,19,6,11,10
20250118,6,3,5,0,6,3,18,2,6,15,15,14,16,7
20250119,14,16,3,12,1,6,18,17,14,8,7,17,5,7
20250120,20,8,8,3,8,18,15,19,12,11,11,13,12,16
20250121,7,16,0,1,2,11,16,12,18,5,17,11,7,8
20250122,17,13,14,9,19,14,2,15,19,15,3,14,6,18
20250123,10,1,19,19,17,20,4,2,12,5,9,16,5,12
20250124,20,6,19,20,18,18,20,13,1,18,8,16,7,9
20250125,4,17,0,8,8,14,19,4,1,12,9,11,3,2
20250126,20,16,3,4,11,18,16,7,8,14,17,11,15,10
20250127,12,11,7,19,13,18,15,12,4,9,19,3,0,1
20250128,18,15,17,13,2,19,17,10,12,5,2,12,4,6
20250129,13,19,12,16,6,11,16,17,13,5,0,8,10,8
20250130,12,11,17,14,17,1,1,5,19,1,15,19,4,20
20250131,1,1,16,20,14,10,12,7,18,14,7,0,20,19
20250132,8,5,6,3,0,19,16,13,9,0,13,20,15,14
20250133,14,3,9,4,16,2,12,2,6,11,19,3,18,7
20250134,4,3,8,5,15,3,5,3,2,4,5,9,9,9
20250135,8,11,3,9,4,6,4,8,19,5,6,6,18,13
20250136,2,15,19,14,18,9,20,14,8,6,1,2,20,0
